#t	#1	#2	#3	#4	#5	#6	#7
816.0	0.4327567802732573	0.0	-0.22874580994340346	0.016533289920089598	0.00018700556249915025	-0.04016525794537534	0.006298648053245429
817.0	0.43281741784141825	0.0	-0.2289232624988942	0.01654640411656168	0.00018733038395402736	-0.040193743844469595	0.006304048312922015
818.0	0.4328779735750476	0.0	-0.22910051266618106	0.01655950359276492	0.00018765485670339073	-0.04022219633276732	0.006309442549828514
819.0	0.43293844736168585	0.0	-0.2292775606474502	0.016572588360523374	0.00018797898119232782	-0.040250615448154364	0.006314830768373636
820.0	0.432998839123134	0.0	-0.22945440664549077	0.016585658431764284	0.0001883027578600799	-0.04027900122862796	0.0063202129729943496
821.0	0.43305914881482954	0.0	-0.22963105086371863	0.016598713818521776	0.00018862618713999724	-0.040307353712299085	0.006325589168158202
822.0	0.43311937642517606	0.0	-0.22980749350619778	0.01661175453294028	0.00018894926945950657	-0.04033567293739443	0.0063309593583655305
823.0	0.43317952197482945	0.0	-0.22998373477765954	0.01662478058727761	0.0001892720052400891	-0.04036395894225791	0.006336323548151534
824.0	0.4332395855159425	0.0	-0.2301597748835197	0.01663779199390774	0.00018959439489727044	-0.04039221176535191	0.006341681742088242
825.0	0.433299567131371	0.0	-0.2303356140298937	0.016650788765323297	0.00018991643884062125	-0.040420431445258115	0.0063470339447863474
826.0	0.4333594669338434	0.0	-0.23051125242360918	0.01666377091413773	0.00019023813747376804	-0.04044861802067794	0.006352380160896922
827.0	0.43341928506509614	0.0	-0.23068669027221714	0.016676738453087172	0.00019055949119441492	-0.04047677153043267	0.0063577203951130055
828.0	0.4334790216949778	0.0	-0.23086192778400055	0.016689691395032027	0.00019088050039437504	-0.04050489201346326	0.006363054652171073
829.0	0.43353867702052445	0.0	-0.23103696516798128	0.016702629752958262	0.00019120116545961197	-0.04053297950882974	0.006368382936852384
830.0	0.4335982512650076	0.0	-0.2312118026339247	0.016715553539978393	0.00019152148677029	-0.040561034055710356	0.006373705253984198
831.0	0.43365774467695883	0.0	-0.2313864403923428	0.016728462769332215	0.00019184146470083404	-0.040589055693400385	0.006379021608440878
832.0	0.43371715752917217	0.0	-0.23156087865449518	0.01674135745438725	0.00019216109961999812	-0.040617044461310654	0.006384332005144875
833.0	0.433776490117687	0.0	-0.23173511763238813	0.016754237608638905	0.0001924803918909419	-0.040645000398965736	0.006389636449067584
834.0	0.4338357427607542	0.0	-0.23190915753877214	0.01676710324571041	0.00019279934187131563	-0.0406729235460019	0.00639493494523009
835.0	0.43389491579778755	0.0	-0.23208299858713752	0.016779954379352452	0.00019311794991335254	-0.04070081394216481	0.006400227498703793
836.0	0.4339540095883026	0.0	-0.23225664099170848	0.01679279102344261	0.00019343621636396874	-0.0407286716273069	0.006405514114610925
837.0	0.43401302451084556	0.0	-0.23243008496743536	0.016805613191984498	0.0001937541415648696	-0.04075649664138458	0.0064107947981249455
838.0	0.4340719609619141	0.0	-0.23260333072998546	0.016818420899106706	0.00019407172585266314	-0.04078428902445516	0.00641606955447083
839.0	0.4341308193548727	0.0	-0.23277637849573243	0.01683121415906152	0.00019438896955897942	-0.04081204881667358	0.00642133838892526
840.0	0.4341896001188643	0.0	-0.23294922848174388	0.0168439929862234	0.00019470587301059558	-0.0408397760582889	0.006426601306816684
841.0	0.4342483036977205	0.0	-0.2331218809057679	0.016856757395087255	0.00019502243652956653	-0.04086747078964065	0.006431858313525301
842.0	0.4343069305488721	0.0	-0.23329433598621818	0.016869507400266538	0.00019533866043336043	-0.0408951330511549	0.006437109414482924
